FIN.TRANSACTION DATE,FIN.POSTING DATE,FIN.TRANSACTION AMOUNT,MCH.MERCHANT NAME,MCH.CITY NAME,FIN.ORIGINAL CURRENCY AMOUNT,FIN.ORIGINAL ISO CURRENCY CODE SYMBOL,FIN.INET CONVERSION
01/08/17,02/08/17,5.99,AMAZON EU,AMAZON.CO.UK,5.99,GBP,1.00
02/08/17,03/08/17,28.32,PIZZA HUT ONLINE WEB,-,28.32,GBP,1.00
01/08/17,03/08/17,15.39,AMAZON.CO.UK,AMAZON.CO.UK,15.39,GBP,1.00
03/07/17,04/07/17,180.33,TESCO STORES 6440,LONDON EN8,180.33,GBP,1.00
04/07/17,05/07/17,16.48,PAYPAL  ESPARES LTD,35314369001,16.48,GBP,1.00
04/07/17,05/07/17,37.55,ASDA SUPERSTORE,S'GATE CIRCUS,37.55,GBP,1.00
07/07/17,10/07/17,119.08,TESCO STORES 6440,LONDON EN8,119.08,GBP,1.00
10/07/17,11/07/17,4.70,SAINSBURYS SACAT 0124,BARNET,4.70,GBP,1.00
10/07/17,11/07/17,18.60,QUALITY FOOD MARKET,LONDON,18.60,GBP,1.00
10/07/17,11/07/17,167.54,TESCO STORES 6440,LONDON EN8,167.54,GBP,1.00
10/07/17,12/07/17,19.99,OPENANDUSEB4,44843289108,19.99,GBP,1.00
11/07/17,12/07/17,16.70,ASDA SUPERSTORE,S'GATE CIRCUS,16.70,GBP,1.00
11/07/17,12/07/17,523.00,FURNITURE VILLAGE,LONDON  N11,523.00,GBP,1.00
12/07/17,13/07/17,35.00,PARENTPAY E-COM R,BRIDGWATER,35.00,GBP,1.00
12/07/17,13/07/17,67.49,WWW.STAPLES.CO.UK,0333 300 1334,67.49,GBP,1.00
14/07/17,17/07/17,142.60,TESCO STORES 6440,LONDON EN8,142.60,GBP,1.00
14/07/17,17/07/17,219.95,WWW.JOHNLEWIS.COM,03456 049 049,219.95,GBP,1.00
17/07/17,18/07/17,77.79,WWW.CICSLIMITED.CO.UK,INTERNET,77.79,GBP,1.00
17/07/17,18/07/17,70.43,MAKRO SELF SERVICE,MANCHESTER,70.43,GBP,1.00
17/07/17,18/07/17,169.20,TESCO STORES 6440,LONDON EN8,169.20,GBP,1.00
18/07/17,19/07/17,77.50,ASDA SUPERSTORE,S'GATE CIRCUS,77.50,GBP,1.00
22/07/17,24/07/17,2.99,WH SMITH,WOOD GREEN,2.99,GBP,1.00
21/07/17,24/07/17,132.29,TESCO STORES 6440,LONDON EN8,132.29,GBP,1.00
23/07/17,25/07/17,74.30,SKY SUBSCRIPTION,08442411653,74.30,GBP,1.00
24/07/17,25/07/17,178.72,TESCO STORES 6440,LONDON EN8,178.72,GBP,1.00
24/07/17,25/07/17,10.98,RYMAN 1169,BARNET,10.98,GBP,1.00
25/07/17,26/07/17,15.00,SAINSBURYS LOC4412,ENFIELD,15.00,GBP,1.00
24/07/17,26/07/17,27.00,NATIONAL RAILCARD,ATOC E-COMMER,27.00,GBP,1.00
31/07/17,01/08/17,28.45,MAKRO SELF SERVICE,MANCHESTER,28.45,GBP,1.00
01/08/17,02/08/17,59.00,ASDA SUPERSTORE,S'GATE CIRCUS,59.00,GBP,1.00
04/07/17,05/07/17,120.39,BT PAY BY PHONE,DURHAM,120.39,GBP,1.00
05/07/17,06/07/17,23.97,WWW.SMYTHSTOYS.COM,CO GALWAY,23.97,GBP,1.00
05/07/17,06/07/17,57.39,BAKER ROSS LTD,LONDON,57.39,GBP,1.00
10/07/17,11/07/17,25.05,TESCO STORES 6440,LONDON EN8,25.05,GBP,1.00
18/07/17,19/07/17,55.65,TESCO STORES 6440,LONDON EN8,55.65,GBP,1.00
25/07/17,26/07/17,164.62,WWW.LYCETTS.CO.UK,01912 321151,164.62,GBP,1.00
26/07/17,27/07/17,52.74,TESCO STORES 6440,LONDON EN8,52.74,GBP,1.00
27/07/17,28/07/17,500.00,PP TOTAL BOXER,LONDON,500.00,GBP,1.00
02/08/17,03/08/17,274.80,WWW.TEACHERBOARDS.CO.U,SKIPTON,274.80,GBP,1.00
07/07/17,10/07/17,60.00,HMCOURTS-SERVICE.G,0845940111,60.00,GBP,1.00
18/07/17,19/07/17,40.00,HMCOURTS-SERVICE.G,08459400111,40.00,GBP,1.00
01/08/17,02/08/17,40.00,HMCOURTS-SERVICE.G,0845940111,40.00,GBP,1.00
09/07/17,10/07/17,20.00,OYSTER AUTOTOPUP,0343 2221234,20.00,GBP,1.00
10/07/17,11/07/17,19.80,TESCO STORES 2479,EDGWARE,19.80,GBP,1.00
13/07/17,14/07/17,20.00,OYSTER AUTOTOPUP,0343 2221234,20.00,GBP,1.00
17/07/17,18/07/17,20.00,OYSTER AUTOTOPUP,0343 2221234,20.00,GBP,1.00
11/07/17,12/07/17,225.12,SELCO TRADING CTR,NEW SOUTHGATE,225.12,GBP,1.00
21/07/17,24/07/17,101.50,WWW.METPARKING.COM,INTERNET,101.50,GBP,1.00
31/07/17,01/08/17,29.94,AMAZON UK MARKETPLACE,800-279-6620,29.94,GBP,1.00
31/07/17,02/08/17,59.22,AMAZON UK RETAIL AMAZO,AMAZON.CO.UK,59.22,GBP,1.00
27/07/17,28/07/17,259.98,WORLDSTORES LTD,03444827500,259.98,GBP,1.00
27/07/17,28/07/17,224.99,CURRYS ONLINE,HEMEL HEMPSTE,224.99,GBP,1.00
01/08/17,02/08/17,499.30,IKEA LIMITED,EDMONTON,499.30,GBP,1.00
02/08/17,03/08/17,58.98,COMPARE THE MAN AND VA,447534676543,58.98,GBP,1.00
03/07/17,04/07/17,-25.99,AMZ CFANNYUK,800-279-6620,-25.99,GBP,1.00
12/07/17,13/07/17,11.69,AMAZON UK MARKETPLACE,800-279-6620,11.69,GBP,1.00
12/07/17,13/07/17,22.30,AMAZON EU,AMAZON.CO.UK,22.30,GBP,1.00
15/07/17,17/07/17,-15.00,AMZ CFANNYUK,800-279-6620,-15.00,GBP,1.00
17/07/17,18/07/17,354.00,ST JOHN AMBULANCE,01142387310,354.00,GBP,1.00
19/07/17,20/07/17,34.99,AMAZON.CO.UK,AMAZON.CO.UK,34.99,GBP,1.00
25/07/17,26/07/17,19.97,AMAZON UK MARKETPLACE,800-279-6620,19.97,GBP,1.00
26/07/17,27/07/17,10.44,AMAZON UK MARKETPLACE,800-279-6620,10.44,GBP,1.00
26/07/17,27/07/17,2.99,AMAZON UK MARKETPLACE,800-279-6620,2.99,GBP,1.00
27/07/17,28/07/17,7.95,AMAZON UK MARKETPLACE,800-279-6620,7.95,GBP,1.00
27/07/17,28/07/17,2.39,AMAZON UK MARKETPLACE,800-279-6620,2.39,GBP,1.00
27/07/17,28/07/17,5.68,AMAZON.CO.UK,AMAZON.CO.UK,5.68,GBP,1.00
03/07/17,04/07/17,144.80,MR P K PATEL,LONDON,144.80,GBP,1.00
05/07/17,06/07/17,10.00,TFL OYST PHOTOCARD,0343 222 1234,10.00,GBP,1.00
08/07/17,10/07/17,15.49,AMAZON EU,AMAZON.CO.UK,15.49,GBP,1.00
08/07/17,10/07/17,30.61,AMAZON EU,AMAZON.CO.UK,30.61,GBP,1.00
13/07/17,14/07/17,83.46,ASDA SUPERSTORE,S'GATE CIRCUS,83.46,GBP,1.00
14/07/17,17/07/17,159.18,SAINSBURYS 0513,NTH FINCHLEY,159.18,GBP,1.00
14/07/17,17/07/17,21.40,SAINSBURYS 0513,NTH FINCHLEY,21.40,GBP,1.00
17/07/17,18/07/17,131.10,SAINSBURYS TO YOU 0444,ENFIELD,131.10,GBP,1.00
17/07/17,18/07/17,-.45,SAINSBURYS TO YOU 0444,ENFIELD,-.45,GBP,1.00
21/07/17,24/07/17,173.71,SAINSBURYS 0513,NTH FINCHLEY,173.71,GBP,1.00
21/07/17,24/07/17,27.40,SAINSBURYS 0513,NTH FINCHLEY,27.40,GBP,1.00
24/07/17,25/07/17,124.40,SAINSBURYS TO YOU 0444,ENFIELD,124.40,GBP,1.00
27/07/17,28/07/17,53.10,SAINSBURYS 0420,WINCHMORE HIL,53.10,GBP,1.00
27/07/17,28/07/17,7.80,SAINSBURYS 0420,WINCHMORE HIL,7.80,GBP,1.00
27/07/17,28/07/17,20.00,SAINSBURYS,LONDON,20.00,GBP,1.00
27/07/17,28/07/17,10.52,CO-OP GROUP FOOD,104320,10.52,GBP,1.00
28/07/17,31/07/17,84.50,SAINSBURYS TO YOU 0444,ENFIELD,84.50,GBP,1.00
28/07/17,31/07/17,104.67,SAINSBURYS 0513,NTH FINCHLEY,104.67,GBP,1.00
31/07/17,01/08/17,67.96,AMAZON.CO.UK,AMAZON.CO.UK,67.96,GBP,1.00
01/08/17,02/08/17,22.26,AMAZON EU,AMAZON.CO.UK,22.26,GBP,1.00
01/08/17,02/08/17,31.80,AMAZON EU,AMAZON.CO.UK,31.80,GBP,1.00
01/08/17,02/08/17,199.75,SAINSBURYS TO YOU 0444,ENFIELD,199.75,GBP,1.00
02/08/17,03/08/17,6.50,"BOOTS,SOUTHGATE",SOUTHGATE,6.50,GBP,1.00
11/07/17,12/07/17,130.00,LB BARNET PCN ATP,LONDON,130.00,GBP,1.00
21/07/17,24/07/17,167.50,DVLA VEHICLE TAX,0300 1234321,167.50,GBP,1.00
21/07/17,24/07/17,242.50,DVLA VEHICLE TAX,0300 1234321,242.50,GBP,1.00
21/07/17,24/07/17,242.50,DVLA VEHICLE TAX,0300 1234321,242.50,GBP,1.00
21/07/17,24/07/17,242.50,DVLA VEHICLE TAX,0300 1234321,242.50,GBP,1.00
21/07/17,24/07/17,242.50,DVLA VEHICLE TAX,0300 1234321,242.50,GBP,1.00
21/07/17,24/07/17,242.50,DVLA VEHICLE TAX,0300 1234321,242.50,GBP,1.00
21/07/17,24/07/17,242.50,DVLA VEHICLE TAX,0300 1234321,242.50,GBP,1.00
21/07/17,24/07/17,242.50,DVLA VEHICLE TAX,0300 1234321,242.50,GBP,1.00
21/07/17,24/07/17,242.50,DVLA VEHICLE TAX,0300 1234321,242.50,GBP,1.00
21/07/17,24/07/17,242.50,DVLA VEHICLE TAX,0300 1234321,242.50,GBP,1.00
21/07/17,24/07/17,242.50,DVLA VEHICLE TAX,0300 1234321,242.50,GBP,1.00
06/07/17,07/07/17,20.00,OYSTER AUTOTOPUP,0343 2221234,20.00,GBP,1.00
01/07/17,04/07/17,5.00,CREATESEND/COM,SYDNEY,5.00,GBP,1.00
03/07/17,04/07/17,40.50,AMAZON UK MARKETPLACE,800-279-6620,40.50,GBP,1.00
03/07/17,04/07/17,9.99,AMAZON UK MARKETPLACE,800-279-6620,9.99,GBP,1.00
04/07/17,05/07/17,17.00,CREATESEND/COM,SYDNEY,17.00,GBP,1.00
04/07/17,05/07/17,5.29,AMAZON UK MARKETPLACE,800-279-6620,5.29,GBP,1.00
03/07/17,05/07/17,9.99,AMAZON.CO.UK,AMAZON.CO.UK,9.99,GBP,1.00
04/07/17,05/07/17,9.99,AMAZON.CO.UK,AMAZON.CO.UK,9.99,GBP,1.00
04/07/17,06/07/17,16.78,AMAZON.CO.UK,AMAZON.CO.UK,16.78,GBP,1.00
04/07/17,06/07/17,55.58,AMAZON.CO.UK,AMAZON.CO.UK,55.58,GBP,1.00
08/07/17,10/07/17,12.99,OFFICE OUTLET,STEVENAGE,12.99,GBP,1.00
20/07/17,21/07/17,10.00,AMAZON EU,AMAZON.CO.UK,10.00,GBP,1.00
26/07/17,27/07/17,8.18,WAITROSE 124,WHETSTONE,8.18,GBP,1.00
27/07/17,28/07/17,30.19,AMAZON UK MARKETPLACE,800-279-6620,30.19,GBP,1.00
01/08/17,02/08/17,5.00,CREATESEND/COM,SYDNEY,5.00,GBP,1.00
20/07/17,21/07/17,20.00,OYSTER AUTOTOPUP,0343 2221234,20.00,GBP,1.00
22/07/17,24/07/17,20.00,OYSTER AUTOTOPUP,0343 2221234,20.00,GBP,1.00
24/07/17,25/07/17,6.55,TESCO STORES,LONDON,6.55,GBP,1.00
31/07/17,01/08/17,55.00,BARTLETTS KEY SERVICES,LONDON,55.00,GBP,1.00
03/07/17,04/07/17,115.80,TESCO STORES 6440,LONDON EN8,115.80,GBP,1.00
06/07/17,07/07/17,-75.05,HOMEBASE LTD  588,LONDON  N12,-75.05,GBP,1.00
07/07/17,10/07/17,176.12,WWW.NISBETS.COM,0845 1110281,176.12,GBP,1.00
10/07/17,11/07/17,242.60,TESCO STORES 6440,LONDON EN8,242.60,GBP,1.00
17/07/17,18/07/17,170.04,TESCO STORES 6440,LONDON EN8,170.04,GBP,1.00
24/07/17,25/07/17,39.60,PETERS FOODMARKET,02085 041534,39.60,GBP,1.00
12/07/17,13/07/17,513.00,HMCOURTS-SERVICE.G,0845940111,513.00,GBP,1.00
18/07/17,19/07/17,490.00,HMCOURTS-SERVICE.G,08459400111,490.00,GBP,1.00
18/07/17,19/07/17,"6,156.00",HMCOURTS-SERVICE.G,08459400111,"6,156.00",GBP,1.00
01/08/17,02/08/17,213.00,HMCOURTS-SERVICE.G,08459400111,213.00,GBP,1.00
07/07/17,10/07/17,114.99,AMAZON.CO.UK,AMAZON.CO.UK,114.99,GBP,1.00
07/07/17,10/07/17,376.84,GLS EDUCATIONAL SU,0161 3672000,376.84,GBP,1.00
15/07/17,17/07/17,40.00,OYSTER BUS AUTOTOP,0343 2221234,40.00,GBP,1.00
27/07/17,28/07/17,20.00,OYSTER AUTOTOPUP,0343 2221234,20.00,GBP,1.00
04/07/17,05/07/17,7.00,TESCO DELIVERY SAVER2,01707298000,7.00,GBP,1.00
20/07/17,21/07/17,111.55,TESCO STORE 2296,COLNEY HATCH,111.55,GBP,1.00
27/07/17,28/07/17,80.44,AMAZON UK MARKETPLACE,800-279-6620,80.44,GBP,1.00
28/07/17,31/07/17,70.36,AMAZON EU,AMAZON.CO.UK,70.36,GBP,1.00
11/07/17,13/07/17,4.40,CAFFE NERO 93 JERMYN S,LONDON,4.40,GBP,1.00
14/07/17,17/07/17,1.90,CAFFE NERO,PICCADILLY 2,1.90,GBP,1.00
14/07/17,17/07/17,.98,WESTMINSTER PARKING,LONDON,.98,GBP,1.00
14/07/17,17/07/17,2.65,COSTA COFFEE,LONDON  W1J,2.65,GBP,1.00
17/07/17,18/07/17,2.65,SOUTHBANK CENTRE,LONDON,2.65,GBP,1.00
17/07/17,18/07/17,14.20,WAITROSE 670,MILL HILL,14.20,GBP,1.00
17/07/17,18/07/17,4.88,MCDONALD'S,COUNTY HALL L,4.88,GBP,1.00
20/07/17,21/07/17,5.30,COSTA COFFEE,LONDON  W1J,5.30,GBP,1.00
22/07/17,24/07/17,2.65,COSTA COFFEE 43037420,FRIERN BARNET,2.65,GBP,1.00
22/07/17,24/07/17,57.92,HALFORDS 0744,FRIERN BARNET,57.92,GBP,1.00
25/07/17,26/07/17,18.80,WAITROSE 670,MILL HILL,18.80,GBP,1.00
31/07/17,01/08/17,70.00,M CAMELIA IACOB LT,LONDON  NW4,70.00,GBP,1.00
31/07/17,01/08/17,11.50,BLAKES DRY CLEANER LTD,LONDON N12,11.50,GBP,1.00
01/08/17,02/08/17,1.39,SHELL MILL HILL,LONDON  NW7,1.39,GBP,1.00
13/07/17,14/07/17,17.50,LUL TICKET MACHINE,COCKFOSTERS,17.50,GBP,1.00
13/07/17,14/07/17,5.00,NCP LIMITED P&D,BARNET,5.00,GBP,1.00
03/07/17,04/07/17,63.60,WWW.OFFICEFURNITUREONL,INTERNET,63.60,GBP,1.00
10/07/17,11/07/17,13.00,COMPANIES HOUSE,CARDIFF,13.00,GBP,1.00
31/07/17,01/08/17,13.00,COMPANIES HOUSE,CARDIFF,13.00,GBP,1.00
03/07/17,04/07/17,10.39,CO-OP GROUP FOOD,104320,10.39,GBP,1.00
17/07/17,18/07/17,70.19,CAMPAIGNMONITOR,SYDNEY,89.00,USD,1.27
21/07/17,24/07/17,38.95,CAMPAIGNMONITOR,SYDNEY,49.00,USD,1.26
04/07/17,05/07/17,42.53,TESCO STORE 2122,BRENT PARK,42.53,GBP,1.00
05/07/17,06/07/17,60.00,PAYPAL  ELAINEN34,35314369001,60.00,GBP,1.00
11/07/17,12/07/17,46.60,TESCO STORE 2122,BRENT PARK,46.60,GBP,1.00
18/07/17,19/07/17,58.20,SQ  SLICE,LONDON,58.20,GBP,1.00
18/07/17,19/07/17,57.51,TESCO STORE 2122,BRENT PARK,57.51,GBP,1.00
21/07/17,24/07/17,202.89,ATLANTIS EUROPEAN,LONDON  EC2A,202.89,GBP,1.00
21/07/17,24/07/17,16.14,PAYPAL  ADELOS LTD,35314369001,16.14,GBP,1.00
21/07/17,24/07/17,16.40,PAYPAL  MAILSHACK,35314369001,16.40,GBP,1.00
21/07/17,24/07/17,70.50,PAYPAL  COTTONPRINT,35314369001,70.50,GBP,1.00
24/07/17,25/07/17,43.20,PAYPAL  SCREENCOATI,35314369001,43.20,GBP,1.00
24/07/17,25/07/17,.50,L B BARNET PARKING,LONDON,.50,GBP,1.00
25/07/17,26/07/17,-.36,JOHN PURCELL PAPER,LONDON,-.36,GBP,1.00
25/07/17,26/07/17,39.99,CURRYS,BARNET,39.99,GBP,1.00
25/07/17,26/07/17,63.84,JOHN PURCELL PAPER,LONDON,63.84,GBP,1.00
25/07/17,26/07/17,105.00,INNOVATION DANCE STUDI,LONDON  W5 1,105.00,GBP,1.00
26/07/17,27/07/17,3.00,L B BARNET PARKING,LONDON,3.00,GBP,1.00
26/07/17,27/07/17,74.80,AMFBOWLING.CO.UK,01442 840200,74.80,GBP,1.00
26/07/17,27/07/17,1.50,UPT CHESHIRE EAST BORO,SANDBACH,1.50,GBP,1.00
26/07/17,27/07/17,1.50,UPT CHESHIRE EAST BORO,SANDBACH,1.50,GBP,1.00
27/07/17,28/07/17,.65,L B BARNET PARKING,LONDON,.65,GBP,1.00
31/07/17,01/08/17,8.48,WAITROSE 670,MILL HILL,8.48,GBP,1.00
31/07/17,02/08/17,30.70,PIZZA HUT 503,LONDON,30.70,GBP,1.00
01/08/17,02/08/17,51.31,TESCO STORE 2122,BRENT PARK,51.31,GBP,1.00
31/07/17,02/08/17,174.76,TESCO STORE 2122,BRENT PARK,174.76,GBP,1.00
01/08/17,02/08/17,1.50,L B BARNET PARKING,LONDON,1.50,GBP,1.00
01/08/17,02/08/17,24.00,WILKO.COM,0845 6080807,24.00,GBP,1.00
01/08/17,02/08/17,70.68,BUILDERDEPOT.CO.UK,0208 9200800,70.68,GBP,1.00
01/08/17,02/08/17,61.00,BOOTS 0746,HENDON LONDON,61.00,GBP,1.00
01/08/17,02/08/17,-21.64,TESCO STORE 2122,BRENT PARK,-21.64,GBP,1.00
11/07/17,12/07/17,250.00,ROBIN NEWS,LONDON  N12,250.00,GBP,1.00
11/07/17,12/07/17,200.00,PAMIR CARPETS,LONDON,200.00,GBP,1.00
14/07/17,17/07/17,224.00,WWW.JOHNLEWIS.COM,03456 049 049,224.00,GBP,1.00
18/07/17,19/07/17,209.00,WWW.JOHNLEWIS.COM,03456 049 049,209.00,GBP,1.00
20/07/17,21/07/17,379.00,K  FURNITURE,LONDON  NW2,379.00,GBP,1.00
26/07/17,27/07/17,274.99,CURRYS ONLINE,HEMEL HEMPSTE,274.99,GBP,1.00
27/07/17,28/07/17,55.73,HOMEBASE LTD  588,LONDON  N12,55.73,GBP,1.00
28/07/17,31/07/17,65.00,ANYVAN,BERLIN,65.00,GBP,1.00
31/07/17,01/08/17,15.00,PLATINUMENT,44192446335,15.00,GBP,1.00
04/07/17,05/07/17,182.95,SAINSBURYS 0513,NTH FINCHLEY,182.95,GBP,1.00
04/07/17,05/07/17,44.84,SAINSBURYS 0513,NTH FINCHLEY,44.84,GBP,1.00
07/07/17,10/07/17,120.81,SAINSBURYS 0513,NTH FINCHLEY,120.81,GBP,1.00
07/07/17,10/07/17,36.00,SAINSBURYS 0513,NTH FINCHLEY,36.00,GBP,1.00
11/07/17,12/07/17,153.20,SAINSBURYS 0513,NTH FINCHLEY,153.20,GBP,1.00
11/07/17,12/07/17,21.95,SAINSBURYS 0513,NTH FINCHLEY,21.95,GBP,1.00
19/07/17,20/07/17,476.04,PARKDEAN HOLIDAY P,NEWCASTLE NE1,476.04,GBP,1.00
19/07/17,20/07/17,20.30,PARKDEAN HOLIDAY P,NEWCASTLE NE1,20.30,GBP,1.00
17/07/17,19/07/17,107.44,WWW.ARGOS.CO.UK,INTERNET,107.44,GBP,1.00
02/08/17,03/08/17,90.30,NATIONAL EXPRESS LIMIT,BIRMINGHAM,90.30,GBP,1.00
03/07/17,04/07/17,501.00,LOVE2REWARD.CO.UK,0345 717 1111,501.00,GBP,1.00
04/07/17,05/07/17,115.75,HOBBYCRAFT (INTERNET),NORTHAMPTON,115.75,GBP,1.00
10/07/17,11/07/17,26.34,THE BAG N BOX MAN,01295 788522,26.34,GBP,1.00
20/07/17,21/07/17,35.65,TESCO STORES 6440,LONDON EN8,35.65,GBP,1.00
24/07/17,25/07/17,500.00,CASTLE WATER,BLAIRGOWRIE,500.00,GBP,1.00
26/07/17,27/07/17,418.71,WWW.AFFINITYFORBUS,0345 357 2424,418.71,GBP,1.00
31/07/17,01/08/17,-29.99,ARGOS RETAIL GROUP,INTERNET,-29.99,GBP,1.00
31/07/17,01/08/17,29.99,ARGOS RETAIL GROUP,INTERNET,29.99,GBP,1.00
31/07/17,01/08/17,27.97,AMAZON UK MARKETPLACE,800-279-6620,27.97,GBP,1.00
02/08/17,03/08/17,210.29,TESCO STORES 6440,LONDON EN8,210.29,GBP,1.00
13/07/17,14/07/17,56.20,SAINSBURYS TO YOU 0637,HENDON,56.20,GBP,1.00
19/07/17,20/07/17,20.00,OYSTER BUS AUTOTOP,0343 2221234,20.00,GBP,1.00
29/07/17,31/07/17,40.00,OYSTER BUS AUTOTOP,0343 2221234,40.00,GBP,1.00
03/07/17,04/07/17,15.00,LBBARNET PAYENET,LONDON,15.00,GBP,1.00
04/07/17,05/07/17,23.40,GRO HM PASSPORT OFFICE,SOUTHPORT,23.40,GBP,1.00
04/07/17,05/07/17,-12.00,NCC INCOME,01604 367520,-12.00,GBP,1.00
04/07/17,06/07/17,-23.40,GRO HM PASSPORT OFFICE,SOUTHPORT,-23.40,GBP,1.00
10/07/17,11/07/17,15.00,HERTS COUNTY COUNCIL,HERTFORD,15.00,GBP,1.00
10/07/17,11/07/17,15.00,HERTS COUNTY COUNCIL,HERTFORD,15.00,GBP,1.00
19/07/17,20/07/17,20.00,LBWF INTERNET,INTERNET,20.00,GBP,1.00
19/07/17,20/07/17,20.00,LBWF INTERNET,INTERNET,20.00,GBP,1.00
21/07/17,24/07/17,46.80,GRO HM PASSPORT OFFICE,SOUTHPORT,46.80,GBP,1.00
01/08/17,02/08/17,11.00,L B CAMDEN INT,LONDON,11.00,GBP,1.00
01/08/17,02/08/17,15.00,LBBARNET PAYENET,LONDON,15.00,GBP,1.00
01/08/17,02/08/17,11.00,L B ISLINGTON,LONDON,11.00,GBP,1.00
01/08/17,02/08/17,-20.00,LBWF,WALTHAMSTOW,-20.00,GBP,1.00
27/07/17,28/07/17,6.97,64 COMPUTERS LTD,LONDON,6.97,GBP,1.00
04/07/17,05/07/17,21.00,DOORS & DOORS FINCHLEY,LONDON N3,21.00,GBP,1.00
04/07/17,05/07/17,7.50,DOORS & DOORS FINCHLEY,LONDON N3,7.50,GBP,1.00
14/07/17,17/07/17,20.00,OYSTER BUS AUTOTOP,0343 2221234,20.00,GBP,1.00
14/07/17,17/07/17,20.00,OYSTER BUS AUTOTOP,0343 2221234,20.00,GBP,1.00
21/07/17,24/07/17,85.00,BARNET LOCK CENTRE LTD,BARNET,85.00,GBP,1.00
22/07/17,24/07/17,20.00,OYSTER BUS AUTOTOP,0343 2221234,20.00,GBP,1.00
28/07/17,31/07/17,20.00,OYSTER BUS AUTOTOP,0343 2221234,20.00,GBP,1.00
01/08/17,02/08/17,14.00,DOORS & DOORS FINCHLEY,LONDON N3,14.00,GBP,1.00
03/07/17,04/07/17,5.85,TESCO STORES 2729,GOLDERS GREEN,5.85,GBP,1.00
05/07/17,06/07/17,53.97,RYMAN 1133,LONDON,53.97,GBP,1.00
06/07/17,07/07/17,6.55,TESCO STORES,LONDON,6.55,GBP,1.00
07/07/17,10/07/17,6.55,TESCO STORES 2729,GOLDERS GREEN,6.55,GBP,1.00
08/07/17,10/07/17,13.45,B & Q 1066,STANMORE,13.45,GBP,1.00
09/07/17,10/07/17,6.20,TESCO STORES 2729,GOLDERS GREEN,6.20,GBP,1.00
10/07/17,11/07/17,6.55,TESCO STORES,LONDON,6.55,GBP,1.00
13/07/17,14/07/17,6.55,TESCO STORES 2729,GOLDERS GREEN,6.55,GBP,1.00
14/07/17,17/07/17,6.55,TESCO STORES 2729,GOLDERS GREEN,6.55,GBP,1.00
16/07/17,17/07/17,5.00,TESCO STORES,LONDON,5.00,GBP,1.00
17/07/17,18/07/17,6.55,TESCO STORES 2729,GOLDERS GREEN,6.55,GBP,1.00
20/07/17,21/07/17,6.55,TESCO STORES 2729,GOLDERS GREEN,6.55,GBP,1.00
21/07/17,24/07/17,6.55,TESCO STORES 2729,GOLDERS GREEN,6.55,GBP,1.00
23/07/17,24/07/17,5.00,TESCO STORES,LONDON,5.00,GBP,1.00
27/07/17,28/07/17,6.55,TESCO STORES 2729,GOLDERS GREEN,6.55,GBP,1.00
28/07/17,31/07/17,6.55,TESCO STORES 2729,GOLDERS GREEN,6.55,GBP,1.00
30/07/17,31/07/17,5.00,TESCO STORES 2729,GOLDERS GREEN,5.00,GBP,1.00
31/07/17,01/08/17,6.55,TESCO STORES 2729,GOLDERS GREEN,6.55,GBP,1.00
03/07/17,04/07/17,40.00,WICKES BUILDING,WATFORD,40.00,GBP,1.00
03/07/17,05/07/17,49.99,WWW.ARGOS.CO.UK,INTERNET,49.99,GBP,1.00
04/07/17,05/07/17,214.94,WWW.ARGOS.CO.UK,INTERNET,214.94,GBP,1.00
11/07/17,12/07/17,40.00,WICKES BUILDING,WATFORD,40.00,GBP,1.00
11/07/17,12/07/17,149.00,TESCO DIRECT,CHESHUNT,149.00,GBP,1.00
12/07/17,13/07/17,38.73,B&Q DIRECT,0845 609 6688,38.73,GBP,1.00
11/07/17,13/07/17,48.20,WWW.ARGOS.CO.UK,INTERNET,48.20,GBP,1.00
18/07/17,19/07/17,206.00,JET2.COM  7980031425384,LEEDS,206.00,GBP,1.00
24/07/17,25/07/17,78.29,COMPARE THE MAN AND VA,447534676543,78.29,GBP,1.00
06/07/17,07/07/17,60.28,ARGOS RETAIL GROUP,INTERNET,60.28,GBP,1.00
06/07/17,10/07/17,498.93,WWW.ARGOS.CO.UK,INTERNET,498.93,GBP,1.00
07/07/17,10/07/17,75.20,ROBIN NEWS,LONDON  N12,75.20,GBP,1.00
06/07/17,10/07/17,21.97,ARGOS RETAIL GROUP,INTERNET,21.97,GBP,1.00
11/07/17,12/07/17,300.00,PAMIR CARPETS,LONDON,300.00,GBP,1.00
17/07/17,18/07/17,83.99,PAYPAL  TANDP,35314369001,83.99,GBP,1.00
25/07/17,26/07/17,48.20,ROBIN NEWS,LONDON  N12,48.20,GBP,1.00
25/07/17,27/07/17,71.10,WWW.ARGOS.CO.UK,INTERNET,71.10,GBP,1.00
02/08/17,03/08/17,287.43,COMPARE THE MAN AND VA,447534676543,287.43,GBP,1.00
13/07/17,14/07/17,58.50,MARKS&SPENCER PLC,INTERNET,58.50,GBP,1.00
18/07/17,19/07/17,16.54,SAINSBURYS 0124,NEW BARNET,16.54,GBP,1.00
23/07/17,25/07/17,17.00,CREATESEND/COM,SYDNEY,17.00,GBP,1.00
20/07/17,21/07/17,115.25,VIRGIN TRAINS,LONDON,115.25,GBP,1.00
25/07/17,26/07/17,84.97,HIGH STREET TV (GROUP),08448000631,84.97,GBP,1.00
